Query,Intent,"Target Locale","Canonical URL","Current URL(s)",Action
"ai expert jobs",unknown,en-us,,,keep
"ai optimization",unknown,en-us,,,keep
"seo jobs leicester",general_seo,en-us,,,keep
"seo norwich",local_seo_uk,en-gb,https://nrlc.ai/en-gb/services/local-seo-ai/norwich/,"https://nrlc.ai/en-us/services/local-seo-ai/norwich/; https://nrlc.ai/en-us/services/llm-content-strategy/norwich/; https://nrlc.ai/en-us/services/b2b-seo-ai/norwich/; https://nrlc.ai/en-us/services/technical-seo/norwich/; https://nrlc.ai/ko-kr/services/authority-optimization-ai/norwich/; https://nrlc.ai/ko-kr/services/local-seo-ai/norwich/; https://nrlc.ai/fr-fr/services/training/norwich/; https://nrlc.ai/en-us/services/training/norwich/; https://nrlc.ai/es-es/services/ai-search-optimization/norwich/; https://nrlc.ai/de-de/services/technical-seo/norwich/; https://nrlc.ai/en-us/services/mobile-seo-ai/norwich/; https://nrlc.ai/ko-kr/services/ai-citation-optimization/norwich/; https://nrlc.ai/en-us/services/semantic-seo-ai/norwich/",301_redirect
"seo stockport",local_seo_uk,en-gb,https://nrlc.ai/en-gb/services/local-seo-ai/stockport/,"https://nrlc.ai/fr-fr/services/conversion-optimization-ai/stockport/; https://nrlc.ai/de-de/services/relevance-optimization-ai/stockport/; https://nrlc.ai/ko-kr/services/conversational-seo-ai/stockport/; https://nrlc.ai/en-us/careers/stockport/technical-writer/; https://nrlc.ai/en-gb/services/local-seo-ai/stockport/; https://nrlc.ai/en-us/services/technical-seo/stockport/; https://nrlc.ai/en-us/services/generative-seo/stockport/; https://nrlc.ai/en-us/services/ai-search-optimization/stockport/; https://nrlc.ai/en-us/services/multimodal-seo-ai/stockport/; https://nrlc.ai/en-us/services/voice-search-optimization/stockport/; https://nrlc.ai/fr-fr/services/schema-markup-ai/stockport/; https://nrlc.ai/en-us/services/ranking-optimization-ai/stockport/; https://nrlc.ai/es-es/services/local-seo-ai/stockport/; https://nrlc.ai/en-us/services/llm-optimization/stockport/; https://nrlc.ai/en-us/services/copilot-optimization/stockport/",301_redirect
"seo stoke",general_seo,en-us,,,keep
"seo derby",local_seo_uk,en-gb,https://nrlc.ai/en-gb/services/local-seo-ai/derby/,"https://nrlc.ai/en-us/services/voice-search-optimization/derby/; https://nrlc.ai/en-gb/services/freshness-optimization-ai/derby/; https://nrlc.ai/en-us/services/technical-seo/derby/; https://nrlc.ai/en-us/services/ai-search-optimization/derby/; https://nrlc.ai/en-us/services/international-seo/derby/; https://nrlc.ai/careers/derby/technical-writer/; https://nrlc.ai/en-us/services/claude-optimization/derby/; https://nrlc.ai/es-es/services/ecommerce-ai-seo/derby/; https://nrlc.ai/fr-fr/services/contextual-seo-ai/derby/; https://nrlc.ai/en-us/services/chatgpt-optimization/derby/; https://nrlc.ai/ko-kr/services/claude-optimization/derby/; https://nrlc.ai/en-gb/services/json-ld-strategy/derby/; https://nrlc.ai/services/claude-optimization/derby/",301_redirect
"seo southport",local_seo_uk,en-gb,https://nrlc.ai/en-gb/services/local-seo-ai/southport/,"https://nrlc.ai/en-us/services/chatgpt-optimization/southport/; https://nrlc.ai/en-us/services/generative-seo/southport/; https://nrlc.ai/ko-kr/services/completeness-optimization-ai/southport/; https://nrlc.ai/en-us/services/personalization-ai/southport/; https://nrlc.ai/en-us/services/contextual-seo-ai/southport/; https://nrlc.ai/ko-kr/services/recommendation-ai/southport/; https://nrlc.ai/en-gb/services/trust-optimization-ai/southport/; https://nrlc.ai/de-de/services/training/southport/; https://nrlc.ai/en-us/services/bard-optimization/southport/",301_redirect
"seo huddersfield",local_seo_uk,en-gb,https://nrlc.ai/en-gb/services/local-seo-ai/huddersfield/,"https://nrlc.ai/en-gb/services/international-seo/huddersfield/; https://nrlc.ai/en-us/services/bard-optimization/huddersfield/; https://nrlc.ai/es-es/services/contextual-seo-ai/huddersfield/; https://nrlc.ai/en-us/services/technical-seo/huddersfield/; https://nrlc.ai/fr-fr/careers/huddersfield/technical-writer/; https://nrlc.ai/en-gb/services/explainability-optimization-ai/huddersfield/; https://nrlc.ai/ko-kr/services/claude-optimization/huddersfield/; https://nrlc.ai/es-es/services/copilot-optimization/huddersfield/; https://nrlc.ai/en-us/services/perplexity-optimization/huddersfield/; https://nrlc.ai/en-us/services/link-building-ai/huddersfield/; https://nrlc.ai/en-us/services/ecommerce-ai-seo/huddersfield/; https://nrlc.ai/fr-fr/careers/huddersfield/technical-writer/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic; https://nrlc.ai/ko-kr/services/knowledge-graph-ai/huddersfield/; https://nrlc.ai/de-de/services/local-seo-ai/huddersfield/; https://nrlc.ai/es-es/services/ai-overviews-optimization/huddersfield/; https://nrlc.ai/en-us/services/site-audits/huddersfield/; https://nrlc.ai/en-us/careers/huddersfield/seo-specialist/; https://nrlc.ai/en-us/services/contextual-seo-ai/huddersfield/; https://nrlc.ai/ko-kr/services/recommendation-ai/huddersfield/",301_redirect
"norwich seo",local_seo_uk,en-gb,https://nrlc.ai/en-gb/services/local-seo-ai/norwich/,"https://nrlc.ai/en-us/services/local-seo-ai/norwich/; https://nrlc.ai/en-us/services/llm-content-strategy/norwich/; https://nrlc.ai/en-us/services/b2b-seo-ai/norwich/; https://nrlc.ai/en-us/services/technical-seo/norwich/; https://nrlc.ai/ko-kr/services/authority-optimization-ai/norwich/; https://nrlc.ai/ko-kr/services/local-seo-ai/norwich/; https://nrlc.ai/fr-fr/services/training/norwich/; https://nrlc.ai/en-us/services/training/norwich/; https://nrlc.ai/es-es/services/ai-search-optimization/norwich/; https://nrlc.ai/de-de/services/technical-seo/norwich/; https://nrlc.ai/en-us/services/mobile-seo-ai/norwich/; https://nrlc.ai/ko-kr/services/ai-citation-optimization/norwich/; https://nrlc.ai/en-us/services/semantic-seo-ai/norwich/",301_redirect
