URL,"HTTP Status","Load Time","Canonical Found","Canonical Matches","Title Found","Title Length","Title Valid","Description Found","Description Length","Description Valid","H1 Found","H1 Count","Schema Found","Schema Count","Schema Types",Viewport,Lang,Charset,Footer,Passed,Issues,Warnings
https://nrlc.ai/,200,0.939335,Yes,Yes,Yes,48,Yes,Yes,138,Yes,Yes,1,Yes,5,"Organization, WebSite, BreadcrumbList, Person, WebPage, FAQPage",Yes,en,Yes,Yes,PASS,,
https://nrlc.ai/en-us/products/,200,1.640013,Yes,Yes,Yes,41,Yes,Yes,160,Yes,Yes,1,Yes,6,"Organization, WebSite, BreadcrumbList, ItemList, WebPage",Yes,en,Yes,Yes,PASS,,
https://nrlc.ai/insights/geo16-introduction/,200,2.904478,Yes,No,Yes,49,Yes,Yes,162,No,Yes,1,Yes,3,"Organization, WebSite, BreadcrumbList",Yes,en,Yes,Yes,FAIL,"Canonical does not match URL; Description: Too long (162 chars, max 160)",
https://nrlc.ai/en-us/services/ai-search-optimization/raleigh/,200,0.98908,Yes,Yes,Yes,72,No,Yes,141,Yes,Yes,1,Yes,8,"Organization, WebSite, BreadcrumbList, WebPage, Service, LocalBusiness, FAQPage",Yes,en,Yes,Yes,FAIL,"Title: Too long (72 chars, max 60)",
https://nrlc.ai/en-us/products/applicants-io/,200,1.042768,Yes,Yes,Yes,48,Yes,Yes,151,Yes,Yes,1,Yes,20,"Organization, WebSite, BreadcrumbList, WebPage, Product, Offer, MerchantReturnPolicy, Brand, SoftwareApplication, WebApplication, Service, TechArticle, JobPosting, Occupation, QAPage, HowTo",Yes,en,Yes,Yes,PASS,,
https://nrlc.ai/en-us/ai-visibility/veterinary/,200,2.292655,Yes,Yes,Yes,48,Yes,Yes,168,No,Yes,1,Yes,5,"Organization, WebSite, BreadcrumbList, WebPage, Service",Yes,en,Yes,Yes,FAIL,"Description: Too long (168 chars, max 160)",
https://nrlc.ai/blog/blog-post-154/,200,2.412236,Yes,Yes,Yes,54,Yes,Yes,134,Yes,Yes,1,Yes,7,"Organization, WebSite, BreadcrumbList, WebPage, BlogPosting, FAQPage",Yes,en,Yes,Yes,PASS,,
https://nrlc.ai/en-us/services/ai-overviews-optimization/kingston/,200,3.266962,Yes,Yes,Yes,76,No,Yes,141,Yes,Yes,1,Yes,8,"Organization, WebSite, BreadcrumbList, WebPage, Service, LocalBusiness, FAQPage",Yes,en,Yes,Yes,FAIL,"Title: Too long (76 chars, max 60)",
https://nrlc.ai/en-us/insights/ocrplus-data-ingestion/,200,0.614389,Yes,Yes,Yes,53,Yes,Yes,166,No,Yes,1,Yes,3,"Organization, WebSite, BreadcrumbList",Yes,en,Yes,Yes,FAIL,"Description: Too long (166 chars, max 160)",
https://nrlc.ai/en-us/services/llm-optimization/new-york/,200,1.160282,Yes,No,Yes,67,No,Yes,141,Yes,Yes,1,Yes,8,"Organization, WebSite, BreadcrumbList, WebPage, Service, LocalBusiness, FAQPage",Yes,en,Yes,Yes,FAIL,"Canonical does not match URL; Title: Too long (67 chars, max 60)",
https://nrlc.ai/en-us/services/llm-seeding/southport/,200,2.609659,Yes,No,Yes,63,No,Yes,141,Yes,Yes,1,Yes,8,"Organization, WebSite, BreadcrumbList, WebPage, Service, LocalBusiness, FAQPage",Yes,en,Yes,Yes,FAIL,"Canonical does not match URL; Title: Too long (63 chars, max 60)",
https://nrlc.ai/ko-kr/services/rest-api/,200,0.83801,Yes,No,Yes,38,Yes,Yes,79,No,Yes,1,Yes,3,"Organization, WebSite, BreadcrumbList",Yes,ko,Yes,Yes,FAIL,"Canonical does not match URL; Description: Too short (79 chars, min 120)",
https://nrlc.ai/services/agentic-seo/singapore/,200,1.703338,Yes,No,Yes,63,No,Yes,141,Yes,Yes,1,Yes,8,"Organization, WebSite, BreadcrumbList, WebPage, Service, LocalBusiness, FAQPage",Yes,en,Yes,Yes,FAIL,"Canonical does not match URL; Title: Too long (63 chars, max 60)",
https://nrlc.ai/ko-kr/blog/blog-post-285/,200,1.715489,Yes,No,Yes,52,Yes,Yes,132,Yes,Yes,1,Yes,7,"Organization, WebSite, BreadcrumbList, WebPage, BlogPosting, FAQPage",Yes,ko,Yes,Yes,FAIL,"Canonical does not match URL",
https://nrlc.ai/es-es/services/entity-optimization-ai/whitehorse/,200,1.834905,Yes,No,Yes,75,No,Yes,141,Yes,Yes,1,Yes,8,"Organization, WebSite, BreadcrumbList, WebPage, Service, LocalBusiness, FAQPage",Yes,en,Yes,Yes,FAIL,"Canonical does not match URL; Title: Too long (75 chars, max 60)",
https://nrlc.ai/ko-kr/services/perplexity-optimization/whitehorse/,200,1.369529,Yes,No,Yes,76,No,Yes,141,Yes,Yes,1,Yes,8,"Organization, WebSite, BreadcrumbList, WebPage, Service, LocalBusiness, FAQPage",Yes,en,Yes,Yes,FAIL,"Canonical does not match URL; Title: Too long (76 chars, max 60)",
https://nrlc.ai/fr-fr/services/knowledge-graph-ai/trois-rivieres/,200,6.059575,Yes,No,Yes,75,No,Yes,141,Yes,Yes,1,Yes,8,"Organization, WebSite, BreadcrumbList, WebPage, Service, LocalBusiness, FAQPage",Yes,en,Yes,Yes,FAIL,"Canonical does not match URL; Title: Too long (75 chars, max 60)",
https://nrlc.ai/es-es/services/perplexity-optimization/trois-rivieres/,200,2.248912,Yes,No,Yes,80,No,Yes,141,Yes,Yes,1,Yes,8,"Organization, WebSite, BreadcrumbList, WebPage, Service, LocalBusiness, FAQPage",Yes,en,Yes,Yes,FAIL,"Canonical does not match URL; Title: Too long (80 chars, max 60)",
https://nrlc.ai/es-es/services/completeness-optimization-ai/trois-rivieres/,200,2.046181,Yes,No,Yes,85,No,Yes,141,Yes,Yes,1,Yes,8,"Organization, WebSite, BreadcrumbList, WebPage, Service, LocalBusiness, FAQPage",Yes,en,Yes,Yes,FAIL,"Canonical does not match URL; Title: Too long (85 chars, max 60)",
https://nrlc.ai/ko-kr/services/retrieval-optimization-ai/trois-rivieres/,200,0.87224,Yes,No,Yes,82,No,Yes,141,Yes,Yes,1,Yes,8,"Organization, WebSite, BreadcrumbList, WebPage, Service, LocalBusiness, FAQPage",Yes,en,Yes,Yes,FAIL,"Canonical does not match URL; Title: Too long (82 chars, max 60)",
https://nrlc.ai/en-us/services/local-seo-ai/norwich/,200,0.878867,Yes,No,Yes,62,No,Yes,141,Yes,Yes,1,Yes,6,"Organization, WebSite, BreadcrumbList, WebPage, Service",Yes,en,Yes,Yes,FAIL,"Canonical does not match URL; Title: Too long (62 chars, max 60)",
https://nrlc.ai/en-us/services/ai-seo-norwich/,200,0.539161,Yes,No,Yes,52,Yes,Yes,177,No,Yes,1,Yes,7,"Organization, WebSite, BreadcrumbList, Service, WebPage",Yes,en,Yes,Yes,FAIL,"Canonical does not match URL; Description: Too long (177 chars, max 160)",
https://nrlc.ai/en-us/services/semantic-seo-ai/stoke-on-trent/,200,1.770735,Yes,No,Yes,72,No,Yes,141,Yes,Yes,1,Yes,8,"Organization, WebSite, BreadcrumbList, WebPage, Service, LocalBusiness, FAQPage",Yes,en,Yes,Yes,FAIL,"Canonical does not match URL; Title: Too long (72 chars, max 60)",
https://nrlc.ai/en-us/services/chatgpt-optimization/southport/,200,2.399785,Yes,No,Yes,72,No,Yes,141,Yes,Yes,1,Yes,8,"Organization, WebSite, BreadcrumbList, WebPage, Service, LocalBusiness, FAQPage",Yes,en,Yes,Yes,FAIL,"Canonical does not match URL; Title: Too long (72 chars, max 60)",
https://nrlc.ai/es-es/services/international-seo/blackpool/,200,0.886819,Yes,No,Yes,69,No,Yes,141,Yes,Yes,1,Yes,8,"Organization, WebSite, BreadcrumbList, WebPage, Service, LocalBusiness, FAQPage",Yes,en,Yes,Yes,FAIL,"Canonical does not match URL; Title: Too long (69 chars, max 60)",
https://nrlc.ai/en-us/services/voice-search-optimization/derby/,200,0.886255,Yes,No,Yes,73,No,Yes,141,Yes,Yes,1,Yes,8,"Organization, WebSite, BreadcrumbList, WebPage, Service, LocalBusiness, FAQPage",Yes,en,Yes,Yes,FAIL,"Canonical does not match URL; Title: Too long (73 chars, max 60)",
https://nrlc.ai/en-us/insights/open-seo-tools/,200,0.621727,Yes,Yes,Yes,63,No,Yes,168,No,Yes,1,Yes,3,"Organization, WebSite, BreadcrumbList",Yes,en,Yes,Yes,FAIL,"Title: Too long (63 chars, max 60); Description: Too long (168 chars, max 160)",
