URL,"Last Crawled","Current Locale","Canonical Locale","City Slug","Page Type","Is UK City","Canonical URL",Action,Status
https://nrlc.ai/en-gb/services/local-seo-ai/newcastle/,2025-12-16,en-gb,en-gb,newcastle,service,yes,https://nrlc.ai/en-gb/services/local-seo-ai/newcastle/,keep_indexed,canonical
https://nrlc.ai/en-us/services/claude-optimization/arlington/,2025-12-16,en-us,en-us,arlington,service,no,https://nrlc.ai/en-us/services/claude-optimization/arlington/,keep_indexed,canonical
https://nrlc.ai/en-us/services/analytics/sagamihara/,2025-12-16,en-us,en-us,sagamihara,service,no,https://nrlc.ai/en-us/services/analytics/sagamihara/,keep_indexed,canonical
https://nrlc.ai/en-gb/services/local-seo-ai/blackpool/,2025-12-16,en-gb,en-gb,blackpool,service,yes,https://nrlc.ai/en-gb/services/local-seo-ai/blackpool/,keep_indexed,canonical
https://nrlc.ai/en-us/services/competitor-analysis-ai/kawagoe/,2025-12-16,en-us,en-us,kawagoe,service,no,https://nrlc.ai/en-us/services/competitor-analysis-ai/kawagoe/,keep_indexed,canonical
https://nrlc.ai/en-us/services/contextual-seo-ai/raleigh/,2025-12-16,en-us,en-us,raleigh,service,no,https://nrlc.ai/en-us/services/contextual-seo-ai/raleigh/,keep_indexed,canonical
https://nrlc.ai/en-gb/services/local-seo-ai/belfast/,2025-12-16,en-gb,en-gb,belfast,service,yes,https://nrlc.ai/en-gb/services/local-seo-ai/belfast/,keep_indexed,canonical
https://nrlc.ai/en-gb/services/local-seo-ai/middlesbrough/,2025-12-16,en-gb,en-gb,middlesbrough,service,yes,https://nrlc.ai/en-gb/services/local-seo-ai/middlesbrough/,keep_indexed,canonical
https://nrlc.ai/en-gb/services/local-seo-ai/peterborough/,2025-12-16,en-gb,en-gb,peterborough,service,yes,https://nrlc.ai/en-gb/services/local-seo-ai/peterborough/,keep_indexed,canonical
https://nrlc.ai/en-gb/services/local-seo-ai/new-york/,2025-12-16,en-gb,en-gb,new-york,service,yes,https://nrlc.ai/en-gb/services/local-seo-ai/new-york/,keep_indexed,canonical
https://nrlc.ai/en-gb/services/local-seo-ai/cardiff/,2025-12-16,en-gb,en-gb,cardiff,service,yes,https://nrlc.ai/en-gb/services/local-seo-ai/cardiff/,keep_indexed,canonical
https://nrlc.ai/en-us/services/content-optimization-ai/tampa/,2025-12-16,en-us,en-us,tampa,service,no,https://nrlc.ai/en-us/services/content-optimization-ai/tampa/,keep_indexed,canonical
https://nrlc.ai/en-gb/services/local-seo-ai/plymouth/,2025-12-16,en-gb,en-gb,plymouth,service,yes,https://nrlc.ai/en-gb/services/local-seo-ai/plymouth/,keep_indexed,canonical
https://nrlc.ai/en-us/services/metadata-optimization-ai/abbotsford/,2025-12-16,en-us,en-us,abbotsford,service,no,https://nrlc.ai/en-us/services/metadata-optimization-ai/abbotsford/,keep_indexed,canonical
https://nrlc.ai/en-us/services/conversion-optimization-ai/toda/,2025-12-16,en-us,en-us,toda,service,no,https://nrlc.ai/en-us/services/conversion-optimization-ai/toda/,keep_indexed,canonical
https://nrlc.ai/en-us/services/international-seo/ansan/,2025-12-15,en-us,en-us,ansan,service,no,https://nrlc.ai/en-us/services/international-seo/ansan/,keep_indexed,canonical
https://nrlc.ai/en-us/services/transparency-optimization-ai/warabi/,2025-12-15,en-us,en-us,warabi,service,no,https://nrlc.ai/en-us/services/transparency-optimization-ai/warabi/,keep_indexed,canonical
https://nrlc.ai/en-gb/services/local-seo-ai/stoke-on-trent/,2025-12-15,en-gb,en-gb,stoke-on-trent,service,yes,https://nrlc.ai/en-gb/services/local-seo-ai/stoke-on-trent/,keep_indexed,canonical
https://nrlc.ai/en-us/services/structured-data-ai/nishinomiya/,2025-12-15,en-us,en-us,nishinomiya,service,no,https://nrlc.ai/en-us/services/structured-data-ai/nishinomiya/,keep_indexed,canonical
https://nrlc.ai/en-us/services/transparency-optimization-ai/kasukabe/,2025-12-15,en-us,en-us,kasukabe,service,no,https://nrlc.ai/en-us/services/transparency-optimization-ai/kasukabe/,keep_indexed,canonical
https://nrlc.ai/en-us/careers/kingston/schema-engineer/,2025-12-15,en-us,en-us,kingston,career,no,https://nrlc.ai/en-us/careers/kingston/schema-engineer/,keep_indexed,canonical
https://nrlc.ai/en-us/services/voice-search-optimization/kitakyushu/,2025-12-15,en-us,en-us,kitakyushu,service,no,https://nrlc.ai/en-us/services/voice-search-optimization/kitakyushu/,keep_indexed,canonical
https://nrlc.ai/en-gb/services/local-seo-ai/southend-on-sea/,2025-12-15,en-gb,en-gb,southend-on-sea,service,yes,https://nrlc.ai/en-gb/services/local-seo-ai/southend-on-sea/,keep_indexed,canonical
https://nrlc.ai/en-gb/services/local-seo-ai/sheffield/,2025-12-15,en-gb,en-gb,sheffield,service,yes,https://nrlc.ai/en-gb/services/local-seo-ai/sheffield/,keep_indexed,canonical
https://nrlc.ai/en-us/services/crawl-clarity/cheonan/,2025-12-15,en-us,en-us,cheonan,service,no,https://nrlc.ai/en-us/services/crawl-clarity/cheonan/,keep_indexed,canonical
https://nrlc.ai/en-us/services/bard-optimization/louisville/,2025-12-15,en-us,en-us,louisville,service,no,https://nrlc.ai/en-us/services/bard-optimization/louisville/,keep_indexed,canonical
https://nrlc.ai/en-us/services/competitor-analysis-ai/kounosu/,2025-12-15,en-us,en-us,kounosu,service,no,https://nrlc.ai/en-us/services/competitor-analysis-ai/kounosu/,keep_indexed,canonical
https://nrlc.ai/en-us/services/multimodal-seo-ai/windsor/,2025-12-15,en-us,en-us,windsor,service,no,https://nrlc.ai/en-us/services/multimodal-seo-ai/windsor/,keep_indexed,canonical
https://nrlc.ai/en-us/services/conversion-optimization-ai/kitakyushu/,2025-12-15,en-us,en-us,kitakyushu,service,no,https://nrlc.ai/en-us/services/conversion-optimization-ai/kitakyushu/,keep_indexed,canonical
https://nrlc.ai/en-gb/services/local-seo-ai/london/,2025-12-15,en-gb,en-gb,london,service,yes,https://nrlc.ai/en-gb/services/local-seo-ai/london/,keep_indexed,canonical
https://nrlc.ai/en-us/services/llm-content-strategy/kelowna/,2025-12-15,en-us,en-us,kelowna,service,no,https://nrlc.ai/en-us/services/llm-content-strategy/kelowna/,keep_indexed,canonical
https://nrlc.ai/en-us/services/crawl-clarity/jinju/,2025-12-15,en-us,en-us,jinju,service,no,https://nrlc.ai/en-us/services/crawl-clarity/jinju/,keep_indexed,canonical
https://nrlc.ai/en-us/services/retrieval-optimization-ai/kawagoe/,2025-12-15,en-us,en-us,kawagoe,service,no,https://nrlc.ai/en-us/services/retrieval-optimization-ai/kawagoe/,keep_indexed,canonical
https://nrlc.ai/en-us/services/link-building-ai/toronto/,2025-12-15,en-us,en-us,toronto,service,no,https://nrlc.ai/en-us/services/link-building-ai/toronto/,keep_indexed,canonical
https://nrlc.ai/en-us/services/explainability-optimization-ai/ansan/,2025-12-15,en-us,en-us,ansan,service,no,https://nrlc.ai/en-us/services/explainability-optimization-ai/ansan/,keep_indexed,canonical
https://nrlc.ai/en-us/services/site-audits/changwon/,2025-12-15,en-us,en-us,changwon,service,no,https://nrlc.ai/en-us/services/site-audits/changwon/,keep_indexed,canonical
https://nrlc.ai/en-us/services/recommendation-ai/okayama/,2025-12-15,en-us,en-us,okayama,service,no,https://nrlc.ai/en-us/services/recommendation-ai/okayama/,keep_indexed,canonical
https://nrlc.ai/en-us/services/agentic-seo/toda/,2025-12-15,en-us,en-us,toda,service,no,https://nrlc.ai/en-us/services/agentic-seo/toda/,keep_indexed,canonical
https://nrlc.ai/en-us/services/site-audits/san-francisco/,2025-12-15,en-us,en-us,san-francisco,service,no,https://nrlc.ai/en-us/services/site-audits/san-francisco/,keep_indexed,canonical
https://nrlc.ai/en-us/services/training/cheongju/,2025-12-15,en-us,en-us,cheongju,service,no,https://nrlc.ai/en-us/services/training/cheongju/,keep_indexed,canonical
https://nrlc.ai/en-us/services/bard-optimization/jinju/,2025-12-15,en-us,en-us,jinju,service,no,https://nrlc.ai/en-us/services/bard-optimization/jinju/,keep_indexed,canonical
https://nrlc.ai/en-us/services/transparency-optimization-ai/kawasaki/,2025-12-15,en-us,en-us,kawasaki,service,no,https://nrlc.ai/en-us/services/transparency-optimization-ai/kawasaki/,keep_indexed,canonical
https://nrlc.ai/en-us/services/transparency-optimization-ai/memphis/,2025-12-15,en-us,en-us,memphis,service,no,https://nrlc.ai/en-us/services/transparency-optimization-ai/memphis/,keep_indexed,canonical
