URL,Clicks,Impressions,CTR,Position,"HTTP Code","Final URL","Has Error","Error Message",Title,Description,Canonical,Noindex,"Has Phone","Has Email","Has CTA","Has openContactSheet","Has Contact Form","Has Schema","Schema Types","Conversion Score",Recommendations
https://nrlc.ai/en-us/products/applicants-io/,1,5,20,4,200,https://nrlc.ai/,No,,"NRLC.ai — Technical SEO & AI Search Optimization","Technical SEO and AI search optimization focused on crawlability, structured data, and intent clarity. Call or email to discuss your site.",https://nrlc.ai/,No,Yes,Yes,Yes,Yes,No,Yes,"Organization, WebSite, BreadcrumbList, Person",100,
https://nrlc.ai/en-us/products/,1,3,33.33,6.67,200,https://nrlc.ai/,No,,"NRLC.ai — Technical SEO & AI Search Optimization","Technical SEO and AI search optimization focused on crawlability, structured data, and intent clarity. Call or email to discuss your site.",https://nrlc.ai/,No,Yes,Yes,Yes,Yes,No,Yes,"Organization, WebSite, BreadcrumbList, Person",100,
https://nrlc.ai/en-us/services/llm-optimization/new-york/,1,2,50,7,200,https://nrlc.ai/en-gb/services/local-seo-ai/new-york/,No,,"Local SEO Services in New York | NRLC.ai","Local SEO for New York businesses. Technical audits, Google Business Profile optimization, and measurable leads. Call or email to start.",https://nrlc.ai/en-gb/services/local-seo-ai/new-york/,No,Yes,Yes,Yes,Yes,No,Yes,"Organization, WebSite, BreadcrumbList, Service, LocalBusiness, FAQPage",100,
https://nrlc.ai/en-us/services/llm-seeding/southport/,1,2,50,10,200,https://nrlc.ai/en-gb/services/local-seo-ai/southport/,No,,"Local SEO Services in Southport | NRLC.ai","Local SEO for Southport businesses. Technical audits, Google Business Profile optimization, and measurable leads. Call or email to start.",https://nrlc.ai/en-gb/services/local-seo-ai/southport/,No,Yes,Yes,Yes,Yes,No,Yes,"Organization, WebSite, BreadcrumbList, Service, LocalBusiness, FAQPage",100,
https://nrlc.ai/ko-kr/services/rest-api/,1,1,100,1,200,https://nrlc.ai/ko-kr/services/rest-api/,No,,"Rest Api — Technical SEO for AI Search | NRLC.ai","Rest Api focused on crawlability, indexing integrity, and AI-visible structure. Designed for long-term performance. Call or email.",https://nrlc.ai/services/rest-api/,No,No,No,Yes,Yes,No,Yes,"Organization, WebSite, BreadcrumbList",70,"Add phone number with tel: link; Add email with mailto: link"
https://nrlc.ai/en-us/insights/ocrplus-data-ingestion/,1,1,100,2,200,https://nrlc.ai/en-us/insights/ocrplus-data-ingestion/,No,,"Ocrplus Data Ingestion: What Actually Works | NRLC.ai","A practical breakdown of Ocrplus Data Ingestion: What Actually Works | NRLC.ai, why it fails, and how to implement it correctly. If you want this done, call or email.",https://nrlc.ai/en-us/insights/ocrplus-data-ingestion/,No,Yes,Yes,Yes,Yes,No,Yes,"Organization, WebSite, BreadcrumbList",100,
https://nrlc.ai/es-es/services/entity-optimization-ai/whitehorse/,1,1,100,32,200,https://nrlc.ai/en-us/services/entity-optimization-ai/whitehorse/,No,,"Local SEO Services in Whitehorse | NRLC.ai","Local SEO for Whitehorse businesses. Technical audits, Google Business Profile optimization, and measurable leads. Call or email to start.",https://nrlc.ai/en-us/services/entity-optimization-ai/whitehorse/,No,Yes,Yes,Yes,Yes,No,Yes,"Organization, WebSite, BreadcrumbList, Service, LocalBusiness, FAQPage",100,
https://nrlc.ai/ko-kr/services/perplexity-optimization/whitehorse/,1,1,100,62,200,https://nrlc.ai/en-us/services/perplexity-optimization/whitehorse/,No,,"Local SEO Services in Whitehorse | NRLC.ai","Local SEO for Whitehorse businesses. Technical audits, Google Business Profile optimization, and measurable leads. Call or email to start.",https://nrlc.ai/en-us/services/perplexity-optimization/whitehorse/,No,Yes,Yes,Yes,Yes,No,Yes,"Organization, WebSite, BreadcrumbList, Service, LocalBusiness, FAQPage",100,
https://nrlc.ai/en-us/services/ai-overviews-optimization/kingston/,1,1,100,169,200,https://nrlc.ai/en-us/services/ai-overviews-optimization/kingston/,No,,"Local SEO Services in Kingston | NRLC.ai","Local SEO for Kingston businesses. Technical audits, Google Business Profile optimization, and measurable leads. Call or email to start.",https://nrlc.ai/en-us/services/ai-overviews-optimization/kingston/,No,Yes,Yes,Yes,Yes,No,Yes,"Organization, WebSite, BreadcrumbList, Service, LocalBusiness, FAQPage",100,
https://nrlc.ai/en-us/services/local-seo-ai/norwich/,0,1706,0,62.53,200,https://nrlc.ai/en-gb/services/local-seo-ai/norwich/,No,,"Local SEO Services in Norwich | NRLC.ai","Local SEO for Norwich businesses. Technical audits, Google Business Profile optimization, and measurable leads. Call or email to start.",https://nrlc.ai/en-gb/services/local-seo-ai/norwich/,No,Yes,Yes,Yes,Yes,No,Yes,"Organization, WebSite, BreadcrumbList, Service, LocalBusiness, FAQPage",100,
