URL,"Issue Type","Root Cause",Action,Priority
https://nrlc.ai/en-us/services/agentic-seo/houston/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/explainability-optimization-ai/kitamoto/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/voice-search-optimization/montreal/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/llm-content-strategy/tucson/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/contextual-seo-ai/cheonan/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/entity-recognition-ai/detroit/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/conversational-seo-ai/austin/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/technical-seo/oklahoma-city/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-gb/services/local-seo-ai/brighton/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/personalization-ai/las-vegas/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/semantic-seo-ai/koshigaya/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/competitor-analysis-ai/atlanta/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/completeness-optimization-ai/funabashi/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/llm-seeding/mito/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-gb/services/local-seo-ai/edinburgh/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/transparency-optimization-ai/kawaguchi/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/ranking-optimization-ai/kawaguchi/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/structured-data-ai/daegu/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/authority-optimization-ai/regina/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-gb/services/local-seo-ai/northampton/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/ranking-optimization-ai/raleigh/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/link-building-ai/mesa/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/transparency-optimization-ai/san-diego/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-gb/services/local-seo-ai/sudbury/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/careers/iruma/llm-strategist/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/analytics/shizuoka/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-gb/services/local-seo-ai/southampton/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-gb/services/local-seo-ai/leeds/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/transparency-optimization-ai/sejong/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/personalization-ai/nashville/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/contextual-seo-ai/abbotsford/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/authority-optimization-ai/kazo/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/insights/geo16-introduction/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/metadata-optimization-ai/fujimi/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/contextual-seo-ai/austin/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/site-audits/osaka/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/site-audits/las-vegas/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/competitor-analysis-ai/kelowna/,other,"Unknown - needs manual investigation",investigate,low
https://nrlc.ai/en-us/services/generative-seo/colorado-springs/,other,"Unknown - needs manual investigation",investigate,low
