Country,Clicks,Impressions,CTR,Position
United States,1,718,0.14%,43.72
United Kingdom,1,570,0.18%,60.03
Belgium,1,5,20%,21.6
Russia,1,3,33.33%,69
Canada,0,140,0%,59.72
Singapore,0,102,0%,51.51
Germany,0,34,0%,81.59
Switzerland,0,22,0%,64.27
Ireland,0,18,0%,73.22
Austria,0,16,0%,68.88
France,0,11,0%,43.64
India,0,10,0%,27.6
Japan,0,8,0%,19.25
Uzbekistan,0,6,0%,9.5
Australia,0,6,0%,43.67
Indonesia,0,6,0%,52.5
Finland,0,5,0%,47.8
Morocco,0,4,0%,5
Ukraine,0,4,0%,14.5
Philippines,0,4,0%,15.5
Spain,0,4,0%,30
Malaysia,0,4,0%,32
Mexico,0,4,0%,40.75
Czechia,0,4,0%,46.75
Italy,0,4,0%,58.5
United Arab Emirates,0,4,0%,58.75
Armenia,0,3,0%,5.33
China,0,3,0%,7.67
Netherlands,0,3,0%,13.67
Pakistan,0,3,0%,15.67
Bangladesh,0,3,0%,16.67
Hungary,0,3,0%,19
Chile,0,3,0%,44
Poland,0,3,0%,46.33
Norway,0,3,0%,49.33
Brazil,0,3,0%,50
Portugal,0,3,0%,50.33
Argentina,0,3,0%,55
South Africa,0,2,0%,19
Vietnam,0,2,0%,26
Ecuador,0,2,0%,27
Denmark,0,2,0%,35
Sweden,0,2,0%,35.5
Latvia,0,2,0%,39
Turkey,0,2,0%,54.5
Nigeria,0,1,0%,4
Albania,0,1,0%,5
Kazakhstan,0,1,0%,5
Nepal,0,1,0%,5
Ghana,0,1,0%,6
Jordan,0,1,0%,7
Taiwan,0,1,0%,8
South Korea,0,1,0%,9
Saudi Arabia,0,1,0%,25
Macedonia,0,1,0%,31
Colombia,0,1,0%,34
Estonia,0,1,0%,34
Cambodia,0,1,0%,50
